name,locale,translated_value
"sync_hero_subtitle","fr","Partagez des fichiers APK vers d'autres appareils sur le même réseau Wi-Fi."
"sync_server_mode","fr","Mode serveur"
"sync_server_running","fr","En cours d'exécution"
"sync_server_tap_to_start","fr","Appuyer pour démarrer"
"sync_server_settings","fr","Paramètres du serveur"
"sync_port","fr","Port"
"sync_require_pin","fr","Exiger un code PIN"
"sync_require_pin_subtitle","fr","Protéger les transferts avec un mot de passe"
"sync_pin_code","fr","Code PIN"
"sync_active_downloads","fr","Téléchargements actifs"
"sync_active_downloads_count","fr","%d en cours de téléchargement"
"sync_no_active_downloads","fr","Aucun téléchargement actif"
"sync_server_url","fr","URL du serveur"
"sync_active_transfer","fr","Transfert actif"
"sync_active_transfers_count","fr","Transferts actifs (%d)"
"sync_add_files_to_share","fr","Ajouter des fichiers à partager"
"sync_shared_files_count","fr","Fichiers partagés (%1$d)"
"sync_empty_state_message","fr","Activez le serveur pour commencer à partager des fichiers"
"sync_delete_cd","fr","Supprimer"
"sync_percentage","fr","%1$d%%"
"sync_transfer_progress","fr","%1$s / %2$s"
"sync_toast_added_skipped","fr","%1$d fichier(s) ajouté(s), %2$d non pris en charge ignoré(s)"
"sync_toast_added","fr","%1$d fichier(s) ajouté(s) au dossier de synchronisation"
"sync_toast_unsupported","fr","Aucun fichier de package pris en charge sélectionné (apk, apk+, apks, xapk, apkm, zip)"
"sync_toast_failed","fr","Échec de la copie des fichiers"
"file_size_gb","fr","%1$.1f Go"
"file_size_mb","fr","%1$.1f Mo"
"file_size_kb","fr","%1$.0f Ko"
"file_size_b","fr","%1$d o"
"setting_retry_root","fr","Réessayer la sonde Root"
"setting_section_interface","fr","Interface"
"setting_section_security","fr","Sécurité"
"setting_lock_install_title","fr","Verrouiller les installations"
"setting_lock_install_subtitle","fr","Exiger la biométrie pour confirmer l'installation"
"setting_lock_uninstall_title","fr","Verrouiller les désinstallations"
"setting_lock_uninstall_subtitle","fr","Exiger la biométrie pour confirmer la désinstallation"
"setting_biometric_unavailable","fr","Aucune biométrie ni verrouillage d'appareil configuré sur cet appareil."
"setting_section_sync_short","fr","Synchro"
"setting_sync_control_panel","fr","Panneau de configuration de la synchronisation"
"setting_section_advanced","fr","Avancé"
"setting_vt_api_key_title","fr","Clé API VirusTotal"
"setting_vt_api_key_placeholder","fr","Collez la clé API ici…"
"setting_diagnostics_title","fr","Diagnostics"
"setting_installer_package_title","fr","Package du programme d'installation"
"backup_settings_title","fr","Paramètres de sauvegarde"
"backup_output_path","fr","Chemin de sortie"
"backup_filename_template","fr","Modèle de nom de fichier"
"backup_tags_hint","fr","Balises : {name}, {pkg}, {version}, {code}"
"app_name","hi","यूनिवर्सल इंस्टालर"
"download_notif_running_text","hi","%1$s / %2$s · %3$d%%"
"source_action_browse_packages_sub","hi",".APK · .APK+ · .XAPK · .APKS · .APKM"
"obb_copy_progress","hi","%1$s / %2$s · %3$d%%"
"obb_notif_running_text","hi","%d%%"
"apk_info_version_detail","hi","%1$s (%2$d)"
"uninstall_current_sort_summary","hi","%1$s %2$s"
"setting_shizuku_installer_preset_play","hi","Google Play Store"
"setting_shizuku_installer_preset_aurora","hi","Aurora Store"
"setting_shizuku_installer_preset_fdroid","hi","F-Droid"
"setting_shizuku_installer_preset_amazon","hi","Amazon Appstore"
"setting_shizuku_installer_preset_samsung","hi","Samsung Galaxy Store"
"setting_shizuku_installer_preset_huawei","hi","Huawei AppGallery"
"setting_shizuku_installer_preset_xiaomi","hi","Xiaomi GetApps"
"setting_about_app_name","hi","यूनिवर्सल इंस्टालर"
"setting_github_title","hi","GitHub"
"setting_telegram_title","hi","Telegram"
"setting_website_subtitle","hi","universal-installer.pwhs.app"
"setting_rate_title","hi","ऐप को रेट करें"
"about_creator_subtitle","hi","Pass With High Score"
"about_license_subtitle","hi","GNU GPL v3"
"about_btn_ok","hi","ठीक है"
"installer_mode_shizuku","hi","Shizuku"
"installer_mode_root","hi","Root"
"tv_sync_screen_title","hi","टीवी पर भेजें"
"tv_sync_hero_title","hi","अपने टीवी पर एक ऐप भेजें"
"tv_sync_instructions","hi","टीवी पर, यूनिवर्सल इंस्टालर → इंस्टॉल खोलें, फिर वहां दिखाए गए QR को स्कैन करें।"
"tv_sync_btn_scan","hi","टीवी QR स्कैन करें"
"tv_sync_prompt_scan","hi","अपने टीवी पर QR स्कैन करें"
"tv_sync_status_connected","hi","%1$s से कनेक्ट हो गया"
"tv_sync_btn_choose_apk","hi","भेजने के लिए APK चुनें"
"tv_sync_btn_rescan","hi","एक अलग टीवी को स्कैन करें"
"tv_sync_status_sending","hi","भेज रहा है…"
"tv_sync_status_sent","hi","भेजा गया ✓ — अपने टीवी पर इंस्टॉलेशन की पुष्टि करें"
"tv_sync_status_failed","hi","विफल: %1$s"
"sync_storage_permission_title","hi","स्टोरेज अनुमति आवश्यक है"
"sync_storage_permission_message","hi","सिंक सर्वर को APK फ़ाइलों को साझा और प्रबंधित करने के लिए पूर्ण स्टोरेज एक्सेस की आवश्यकता होती है। कृपया सेटिंग्स में सभी फ़ाइलों तक पहुंच प्रदान करें।"
"sync_open_settings","hi","सेटिंग्स खोलें"
"sync_qr_code_title","hi","QR कोड स्कैन करें"
"sync_qr_code_message","hi","अपना कैमरा खोलें और सर्वर तक पहुँचने के लिए इस कोड को स्कैन करें।"
"sync_close","hi","बंद करें"
"sync_server_offline","hi","सर्वर ऑफ़लाइन"
"sync_server_starting","hi","शुरू हो रहा है…"
"sync_server_online","hi","सर्वर ऑनलाइन"
"sync_server_error","hi","त्रुटि"
"sync_hero_subtitle","hi","एक ही वाई-फाई नेटवर्क पर अन्य उपकरणों पर APK फ़ाइलें साझा करें।"
"sync_server_mode","hi","सर्वर मोड"
"sync_server_running","hi","चल रहा है"
"sync_server_tap_to_start","hi","शुरू करने के लिए टैप करें"
"sync_server_settings","hi","सर्वर सेटिंग्स"
"sync_port","hi","पोर्ट"
"sync_require_pin","hi","पिन की आवश्यकता है"
"sync_require_pin_subtitle","hi","पासवर्ड से ट्रांसफर को सुरक्षित करें"
"sync_pin_code","hi","पिन कोड"
"sync_active_downloads","hi","सक्रिय डाउनलोड"
"sync_active_downloads_count","hi","%d डाउनलोड हो रहा है"
"sync_no_active_downloads","hi","कोई सक्रिय डाउनलोड नहीं"
"sync_server_url","hi","सर्वर URL"
"sync_active_transfer","hi","सक्रिय ट्रांसफर"
"sync_active_transfers_count","hi","सक्रिय ट्रांसफर (%d)"
"sync_add_files_to_share","hi","साझा करने के लिए फ़ाइलें जोड़ें"
"sync_shared_files_count","hi","साझा की गई फ़ाइलें (%1$d)"
"sync_empty_state_message","hi","फ़ाइलें साझा करना शुरू करने के लिए सर्वर चालू करें"
"sync_delete_cd","hi","हटाएं"
"sync_percentage","hi","%1$d%%"
"sync_transfer_progress","hi","%1$s / %2$s"
"sync_toast_added_skipped","hi","%1$d फ़ाइलें जोड़ी गईं, %2$d असमर्थित छोड़ी गईं"
"sync_toast_added","hi","%1$d फ़ाइलें सिंक फ़ोल्डर में जोड़ी गईं"
"sync_toast_unsupported","hi","कोई समर्थित पैकेज फ़ाइल चयनित नहीं है (apk, apk+, apks, xapk, apkm, zip)"
"sync_toast_failed","hi","फ़ाइलों की प्रतिलिपि बनाने में विफल"
"file_size_gb","hi","%1$.1f GB"
"file_size_mb","hi","%1$.1f MB"
"file_size_kb","hi","%1$.0f KB"
"file_size_b","hi","%1$d B"
"setting_retry_root","hi","रूट जांच का पुनः प्रयास करें"
"setting_section_interface","hi","इंटरफेस"
"setting_section_security","hi","सुरक्षा"
"setting_lock_install_title","hi","इंस्टॉलेशन लॉक करें"
"setting_lock_install_subtitle","hi","इंस्टॉल की पुष्टि करने के लिए बायोमेट्रिक आवश्यक है"
"setting_lock_uninstall_title","hi","अनइंस्टॉल लॉक करें"
"setting_lock_uninstall_subtitle","hi","अनइंस्टॉल की पुष्टि करने के लिए बायोमेट्रिक आवश्यक है"
"setting_biometric_unavailable","hi","इस डिवाइस पर कोई बायोमेट्रिक या डिवाइस लॉक सेट नहीं है।"
"setting_section_sync_short","hi","सिंक"
"setting_sync_control_panel","hi","सिंक कंट्रोल पैनल"
"setting_section_advanced","hi","उन्नत"
"setting_vt_api_key_title","hi","VirusTotal API कुंजी"
"setting_vt_api_key_placeholder","hi","यहां API कुंजी पेस्ट करें…"
"setting_diagnostics_title","hi","डायग्नोस्टिक्स"
"setting_installer_package_title","hi","इंस्टॉलर पैकेज"
"backup_settings_title","hi","बैकअप सेटिंग्स"
"backup_output_path","hi","आउटपुट पथ"
"backup_filename_template","hi","फ़ाइल नाम टेम्पलेट"
"backup_tags_hint","hi","टैग: {name}, {pkg}, {version}, {code}"
"app_name","in","Universal Installer"
"download_notif_running_text","in","%1$s / %2$s · %3$d%%"
"source_action_browse_packages_sub","in",".APK · .APK+ · .XAPK · .APKS · .APKM"
"obb_copy_progress","in","%1$s / %2$s · %3$d%%"
"obb_notif_running_text","in","%d%%"
"apk_info_version_detail","in","%1$s (%2$d)"
"uninstall_current_sort_summary","in","%1$s %2$s"
"setting_shizuku_installer_preset_play","in","Google Play Store"
"setting_shizuku_installer_preset_aurora","in","Aurora Store"
"setting_shizuku_installer_preset_fdroid","in","F-Droid"
"setting_shizuku_installer_preset_amazon","in","Amazon Appstore"
"setting_shizuku_installer_preset_samsung","in","Samsung Galaxy Store"
"setting_shizuku_installer_preset_huawei","in","Huawei AppGallery"
"setting_shizuku_installer_preset_xiaomi","in","Xiaomi GetApps"
"setting_about_app_name","in","Universal Installer"
"setting_github_title","in","GitHub"
"setting_telegram_title","in","Telegram"
"setting_website_subtitle","in","universal-installer.pwhs.app"
"setting_rate_title","in","Beri Nilai Aplikasi"
"about_creator_subtitle","in","Pass With High Score"
"about_license_subtitle","in","GNU GPL v3"
"about_btn_ok","in","Oke"
"installer_mode_shizuku","in","Shizuku"
"installer_mode_root","in","Root"
"tv_sync_screen_title","in","Kirim ke TV"
"tv_sync_hero_title","in","Kirim aplikasi ke TV Anda"
"tv_sync_instructions","in","Di TV, buka Universal Installer → Instal, lalu pindai QR yang ditampilkan di sana."
"tv_sync_btn_scan","in","Pindai QR TV"
"tv_sync_prompt_scan","in","Pindai QR di TV Anda"
"tv_sync_status_connected","in","Terhubung ke %1$s"
"tv_sync_btn_choose_apk","in","Pilih APK untuk dikirim"
"tv_sync_btn_rescan","in","Pindai TV lain"
"tv_sync_status_sending","in","Mengirim…"
"tv_sync_status_sent","in","Terkirim ✓ — konfirmasikan penginstalan di TV Anda"
"tv_sync_status_failed","in","Gagal: %1$s"
"sync_storage_permission_title","in","Izin Penyimpanan Diperlukan"
"sync_storage_permission_message","in","Server Sinkronisasi memerlukan akses penyimpanan penuh untuk membagikan dan mengelola file APK. Harap berikan Akses ke semua file di Pengaturan."
"sync_open_settings","in","Buka Pengaturan"
"sync_qr_code_title","in","Pindai Kode QR"
"sync_qr_code_message","in","Buka kamera Anda dan pindai kode ini untuk mengakses server."
"sync_close","in","Tutup"
"sync_server_offline","in","Server Offline"
"sync_server_starting","in","Memulai…"
"sync_server_online","in","Server Online"
"sync_server_error","in","Kesalahan"
"sync_hero_subtitle","in","Bagikan file APK ke perangkat lain di jaringan Wi-Fi yang sama."
"sync_server_mode","in","Mode Server"
"sync_server_running","in","Berjalan"
"sync_server_tap_to_start","in","Ketuk untuk memulai"
"sync_server_settings","in","Pengaturan Server"
"sync_port","in","Port"
"sync_require_pin","in","Wajibkan PIN"
"sync_require_pin_subtitle","in","Lindungi transfer dengan kata sandi"
"sync_pin_code","in","Kode PIN"
"sync_active_downloads","in","Unduhan Aktif"
"sync_active_downloads_count","in","%d mengunduh"
"sync_no_active_downloads","in","Tidak ada unduhan aktif"
"sync_server_url","in","URL Server"
"sync_active_transfer","in","Transfer Aktif"
"sync_active_transfers_count","in","Transfer Aktif (%d)"
"sync_add_files_to_share","in","Tambahkan File untuk Dibagikan"
"sync_shared_files_count","in","File Dibagikan (%1$d)"
"sync_empty_state_message","in","Nyalakan server untuk mulai membagikan file"
"sync_delete_cd","in","Hapus"
"sync_percentage","in","%1$d%%"
"sync_transfer_progress","in","%1$s / %2$s"
"sync_toast_added_skipped","in","Ditambahkan %1$d file, dilewati %2$d tidak didukung"
"sync_toast_added","in","Ditambahkan %1$d file ke Folder Sinkronisasi"
"sync_toast_unsupported","in","Tidak ada file paket yang didukung yang dipilih (apk, apk+, apks, xapk, apkm, zip)"
"sync_toast_failed","in","Gagal menyalin file"
"file_size_gb","in","%1$.1f GB"
"file_size_mb","in","%1$.1f MB"
"file_size_kb","in","%1$.0f KB"
"file_size_b","in","%1$d B"
"setting_retry_root","in","Coba Lagi Uji Root"
"setting_section_interface","in","Antarmuka"
"setting_section_security","in","Keamanan"
"setting_lock_install_title","in","Kunci Penginstalan"
"setting_lock_install_subtitle","in","Wajibkan biometrik untuk mengonfirmasi penginstalan"
"setting_lock_uninstall_title","in","Kunci Penghapusan Instalasi"
"setting_lock_uninstall_subtitle","in","Wajibkan biometrik untuk mengonfirmasi penghapusan instalasi"
"setting_biometric_unavailable","in","Tidak ada biometrik atau kunci perangkat yang disiapkan di perangkat ini."
"setting_section_sync_short","in","Sinkronisasi"
"setting_sync_control_panel","in","Panel Kontrol Sinkronisasi"
"setting_section_advanced","in","Lanjutan"
"setting_vt_api_key_title","in","Kunci API VirusTotal"
"setting_vt_api_key_placeholder","in","Tempel kunci API di sini…"
"setting_diagnostics_title","in","Diagnostik"
"setting_installer_package_title","in","Paket Penginstal"
"backup_settings_title","in","Pengaturan Pencadangan"
"backup_output_path","in","Jalur Output"
"backup_filename_template","in","Template Nama File"
"backup_tags_hint","in","Tag: {name}, {pkg}, {version}, {code}"
"app_name","it","Universal Installer"
"download_notif_running_text","it","%1$s / %2$s · %3$d%%"
"source_action_browse_packages_sub","it",".APK · .APK+ · .XAPK · .APKS · .APKM"
"obb_copy_progress","it","%1$s / %2$s · %3$d%%"
"obb_notif_running_text","it","%d%%"
"apk_info_version_detail","it","%1$s (%2$d)"
"uninstall_current_sort_summary","it","%1$s %2$s"
"setting_shizuku_installer_preset_play","it","Google Play Store"
"setting_shizuku_installer_preset_aurora","it","Aurora Store"
"setting_shizuku_installer_preset_fdroid","it","F-Droid"
"setting_shizuku_installer_preset_amazon","it","Amazon Appstore"
"setting_shizuku_installer_preset_samsung","it","Samsung Galaxy Store"
"setting_shizuku_installer_preset_huawei","it","Huawei AppGallery"
"setting_shizuku_installer_preset_xiaomi","it","Xiaomi GetApps"
"setting_about_app_name","it","Universal Installer"
"setting_github_title","it","GitHub"
"setting_telegram_title","it","Telegram"
"setting_website_subtitle","it","universal-installer.pwhs.app"
"setting_rate_title","it","Valuta l'app"
"about_creator_subtitle","it","Pass With High Score"
"about_license_subtitle","it","GNU GPL v3"
"about_btn_ok","it","OK"
"installer_mode_shizuku","it","Shizuku"
"installer_mode_root","it","Root"
"tv_sync_screen_title","it","Invia alla TV"
"tv_sync_hero_title","it","Invia un'app alla tua TV"
"tv_sync_instructions","it","Sulla TV, apri Universal Installer → Installa, quindi scansiona il QR mostrato lì."
"tv_sync_btn_scan","it","Scansiona QR TV"
"tv_sync_prompt_scan","it","Scansiona il QR sulla tua TV"
"tv_sync_status_connected","it","Connesso a %1$s"
"tv_sync_btn_choose_apk","it","Scegli APK da inviare"
"tv_sync_btn_rescan","it","Scansiona un'altra TV"
"tv_sync_status_sending","it","Invio…"
"tv_sync_status_sent","it","Inviato ✓ — conferma l'installazione sulla tua TV"
"tv_sync_status_failed","it","Non riuscito: %1$s"
"sync_storage_permission_title","it","Autorizzazione di archiviazione richiesta"
"sync_storage_permission_message","it","Il server di sincronizzazione necessita dell'accesso completo all'archiviazione per condividere e gestire i file APK. Concedi Accesso a tutti i file nelle Impostazioni."
"sync_open_settings","it","Apri Impostazioni"
"sync_qr_code_title","it","Scansiona codice QR"
"sync_qr_code_message","it","Apri la fotocamera e scansiona questo codice per accedere al server."
"sync_close","it","Chiudi"
"sync_server_offline","it","Server offline"
"sync_server_starting","it","Avvio…"
"sync_server_online","it","Server online"
"sync_server_error","it","Errore"
"sync_hero_subtitle","it","Condividi file APK su altri dispositivi sulla stessa rete Wi-Fi."
"sync_server_mode","it","Modalità server"
"sync_server_running","it","In esecuzione"
"sync_server_tap_to_start","it","Tocca per iniziare"
"sync_server_settings","it","Impostazioni server"
"sync_port","it","Porta"
"sync_require_pin","it","Richiedi PIN"
"sync_require_pin_subtitle","it","Proteggi i trasferimenti con una password"
"sync_pin_code","it","Codice PIN"
"sync_active_downloads","it","Download attivi"
"sync_active_downloads_count","it","%d in download"
"sync_no_active_downloads","it","Nessun download attivo"
"sync_server_url","it","URL server"
"sync_active_transfer","it","Trasferimento attivo"
"sync_active_transfers_count","it","Trasferimenti attivi (%d)"
"sync_add_files_to_share","it","Aggiungi file da condividere"
"sync_shared_files_count","it","File condivisi (%1$d)"
"sync_empty_state_message","it","Accendi il server per iniziare a condividere i file"
"sync_delete_cd","it","Elimina"
"sync_percentage","it","%1$d%%"
"sync_transfer_progress","it","%1$s / %2$s"
"sync_toast_added_skipped","it","Aggiunti %1$d file, saltati %2$d non supportati"
"sync_toast_added","it","Aggiunti %1$d file alla cartella di sincronizzazione"
"sync_toast_unsupported","it","Nessun file di pacchetto supportato selezionato (apk, apk+, apks, xapk, apkm, zip)"
"sync_toast_failed","it","Impossibile copiare i file"
"file_size_gb","it","%1$.1f GB"
"file_size_mb","it","%1$.1f MB"
"file_size_kb","it","%1$.0f KB"
"file_size_b","it","%1$d B"
"setting_retry_root","it","Riprova Root Probe"
"setting_section_interface","it","Interfaccia"
"setting_section_security","it","Sicurezza"
"setting_lock_install_title","it","Blocca installazioni"
"setting_lock_install_subtitle","it","Richiedi dati biometrici per confermare l'installazione"
"setting_lock_uninstall_title","it","Blocca disinstallazioni"
"setting_lock_uninstall_subtitle","it","Richiedi dati biometrici per confermare la disinstallazione"
"setting_biometric_unavailable","it","Nessun blocco biometrico o dispositivo configurato su questo dispositivo."
"setting_section_sync_short","it","Sincronizzazione"
"setting_sync_control_panel","it","Pannello di controllo della sincronizzazione"
"setting_section_advanced","it","Avanzate"
"setting_vt_api_key_title","it","Chiave API VirusTotal"
"setting_vt_api_key_placeholder","it","Incolla la chiave API qui…"
"setting_diagnostics_title","it","Diagnostica"
"setting_installer_package_title","it","Pacchetto di installazione"
"backup_settings_title","it","Impostazioni di backup"
"backup_output_path","it","Percorso di output"
"backup_filename_template","it","Modello nome file"
"backup_tags_hint","it","Tag: {name}, {pkg}, {version}, {code}"
"app_name","ja","Universal Installer"
"download_notif_running_text","ja","%1$s / %2$s · %3$d%%"
"source_action_browse_packages_sub","ja",".APK · .APK+ · .XAPK · .APKS · .APKM"
"obb_copy_progress","ja","%1$s / %2$s · %3$d%%"
"obb_notif_running_text","ja","%d%%"
"apk_info_version_detail","ja","%1$s (%2$d)"
"uninstall_current_sort_summary","ja","%1$s %2$s"
"setting_shizuku_installer_preset_play","ja","Google Play Store"
"setting_shizuku_installer_preset_aurora","ja","Aurora Store"
"setting_shizuku_installer_preset_fdroid","ja","F-Droid"
"setting_shizuku_installer_preset_amazon","ja","Amazon Appstore"
"setting_shizuku_installer_preset_samsung","ja","Samsung Galaxy Store"
"setting_shizuku_installer_preset_huawei","ja","Huawei AppGallery"
"setting_shizuku_installer_preset_xiaomi","ja","Xiaomi GetApps"
"setting_about_app_name","ja","Universal Installer"
"setting_github_title","ja","GitHub"
"setting_telegram_title","ja","Telegram"
"setting_website_subtitle","ja","universal-installer.pwhs.app"
"setting_rate_title","ja","アプリを評価"
"about_creator_subtitle","ja","Pass With High Score"
"about_license_subtitle","ja","GNU GPL v3"
"about_btn_ok","ja","OK"
"installer_mode_shizuku","ja","Shizuku"
"installer_mode_root","ja","Root"
"tv_sync_screen_title","ja","TVに送信"
"tv_sync_hero_title","ja","アプリをTVに送信"
"tv_sync_instructions","ja","TVで、Universal Installer → インストール を開き、そこに表示されているQRをスキャンします。"
"tv_sync_btn_scan","ja","TVのQRをスキャン"
"tv_sync_prompt_scan","ja","TVのQRをスキャンしてください"
"tv_sync_status_connected","ja","%1$s に接続しました"
"tv_sync_btn_choose_apk","ja","送信するAPKを選択"
"tv_sync_btn_rescan","ja","別のTVをスキャン"
"tv_sync_status_sending","ja","送信中…"
"tv_sync_status_sent","ja","送信完了 ✓ — TVでインストールを確認してください"
"tv_sync_status_failed","ja","失敗: %1$s"
"sync_storage_permission_title","ja","ストレージ権限が必要です"
"sync_storage_permission_message","ja","同期サーバーがAPKファイルを共有および管理するには、ストレージへのフルアクセスが必要です。設定で「すべてのファイルへのアクセス」を許可してください。"
"sync_open_settings","ja","設定を開く"
"sync_qr_code_title","ja","QRコードをスキャン"
"sync_qr_code_message","ja","カメラを開いてこのコードをスキャンし、サーバーにアクセスしてください。"
"sync_close","ja","閉じる"
"sync_server_offline","ja","サーバーオフライン"
"sync_server_starting","ja","起動中…"
"sync_server_online","ja","サーバーオンライン"
"sync_server_error","ja","エラー"
"sync_hero_subtitle","ja","同じWi-Fiネットワーク上の他のデバイスにAPKファイルを共有します。"
"sync_server_mode","ja","サーバーモード"
"sync_server_running","ja","実行中"
"sync_server_tap_to_start","ja","タップして開始"
"sync_server_settings","ja","サーバー設定"
"sync_port","ja","ポート"
"sync_require_pin","ja","PINを要求する"
"sync_require_pin_subtitle","ja","パスワードで転送を保護する"
"sync_pin_code","ja","PINコード"
"sync_active_downloads","ja","アクティブなダウンロード"
"sync_active_downloads_count","ja","%d 件ダウンロード中"
"sync_no_active_downloads","ja","アクティブなダウンロードはありません"
"sync_server_url","ja","サーバーURL"
"sync_active_transfer","ja","アクティブな転送"
"sync_active_transfers_count","ja","アクティブな転送 (%d)"
"sync_add_files_to_share","ja","共有するファイルを追加"
"sync_shared_files_count","ja","共有ファイル (%1$d)"
"sync_empty_state_message","ja","ファイルを共有するにはサーバーをオンにしてください"
"sync_delete_cd","ja","削除"
"sync_percentage","ja","%1$d%%"
"sync_transfer_progress","ja","%1$s / %2$s"
"sync_toast_added_skipped","ja","%1$d個のファイルを追加し、%2$d個の非対応ファイルをスキップしました"
"sync_toast_added","ja","同期フォルダに%1$d個のファイルを追加しました"
"sync_toast_unsupported","ja","対応するパッケージファイルが選択されていません (apk, apk+, apks, xapk, apkm, zip)"
"sync_toast_failed","ja","ファイルのコピーに失敗しました"
"file_size_gb","ja","%1$.1f GB"
"file_size_mb","ja","%1$.1f MB"
"file_size_kb","ja","%1$.0f KB"
"file_size_b","ja","%1$d B"
"setting_retry_root","ja","Rootプローブを再試行"
"setting_section_interface","ja","インターフェース"
"setting_section_security","ja","セキュリティ"
"setting_lock_install_title","ja","インストールをロック"
"setting_lock_install_subtitle","ja","インストールの確認に生体認証を要求する"
"setting_lock_uninstall_title","ja","アンインストールをロック"
"setting_lock_uninstall_subtitle","ja","アンインストールの確認に生体認証を要求する"
"setting_biometric_unavailable","ja","このデバイスには生体認証またはデバイスロックが設定されていません。"
"setting_section_sync_short","ja","同期"
"setting_sync_control_panel","ja","同期コントロールパネル"
"setting_section_advanced","ja","詳細設定"
"setting_vt_api_key_title","ja","VirusTotal APIキー"
"setting_vt_api_key_placeholder","ja","ここにAPIキーを貼り付けてください…"
"setting_diagnostics_title","ja","診断"
"setting_installer_package_title","ja","インストーラパッケージ"
"backup_settings_title","ja","バックアップ設定"
"backup_output_path","ja","出力パス"
"backup_filename_template","ja","ファイル名のテンプレート"
"backup_tags_hint","ja","タグ: {name}, {pkg}, {version}, {code}"
"app_name","ko","Universal Installer"
"download_notif_running_text","ko","%1$s / %2$s · %3$d%%"
"source_action_browse_packages_sub","ko",".APK · .APK+ · .XAPK · .APKS · .APKM"
"obb_copy_progress","ko","%1$s / %2$s · %3$d%%"
"obb_notif_running_text","ko","%d%%"
"apk_info_version_detail","ko","%1$s (%2$d)"
"uninstall_current_sort_summary","ko","%1$s %2$s"
"setting_shizuku_installer_preset_play","ko","Google Play Store"
"setting_shizuku_installer_preset_aurora","ko","Aurora Store"
"setting_shizuku_installer_preset_fdroid","ko","F-Droid"
"setting_shizuku_installer_preset_amazon","ko","Amazon Appstore"
"setting_shizuku_installer_preset_samsung","ko","Samsung Galaxy Store"
"setting_shizuku_installer_preset_huawei","ko","Huawei AppGallery"
"setting_shizuku_installer_preset_xiaomi","ko","Xiaomi GetApps"
"setting_about_app_name","ko","Universal Installer"
"setting_github_title","ko","GitHub"
"setting_telegram_title","ko","Telegram"
"setting_website_subtitle","ko","universal-installer.pwhs.app"
"setting_rate_title","ko","앱 평가하기"
"about_creator_subtitle","ko","Pass With High Score"
"about_license_subtitle","ko","GNU GPL v3"
"about_btn_ok","ko","확인"
"installer_mode_shizuku","ko","Shizuku"
"installer_mode_root","ko","Root"
"tv_sync_screen_title","ko","TV로 보내기"
"tv_sync_hero_title","ko","TV로 앱 보내기"
"tv_sync_instructions","ko","TV에서 Universal Installer → Install을 열고 거기에 표시된 QR 코드를 스캔하세요."
"tv_sync_btn_scan","ko","TV QR 스캔"
"tv_sync_prompt_scan","ko","TV의 QR 코드를 스캔하세요"
"tv_sync_status_connected","ko","%1$s에 연결됨"
"tv_sync_btn_choose_apk","ko","보낼 APK 선택"
"tv_sync_btn_rescan","ko","다른 TV 스캔"
"tv_sync_status_sending","ko","보내는 중…"
"tv_sync_status_sent","ko","전송 완료 ✓ — TV에서 설치를 확인하세요"
"tv_sync_status_failed","ko","실패: %1$s"
"sync_storage_permission_title","ko","저장소 권한 필요"
"sync_storage_permission_message","ko","동기화 서버가 APK 파일을 공유하고 관리하려면 모든 저장소 접근 권한이 필요합니다. 설정에서 모든 파일 접근을 허용해 주세요."
"sync_open_settings","ko","설정 열기"
"sync_qr_code_title","ko","QR 코드 스캔"
"sync_qr_code_message","ko","카메라를 열고 이 코드를 스캔하여 서버에 액세스하세요."
"sync_close","ko","닫기"
"sync_server_offline","ko","서버 오프라인"
"sync_server_starting","ko","시작 중…"
"sync_server_online","ko","서버 온라인"
"sync_server_error","ko","오류"
"sync_hero_subtitle","ko","동일한 Wi-Fi 네트워크에 있는 다른 기기와 APK 파일을 공유하세요."
"sync_server_mode","ko","서버 모드"
"sync_server_running","ko","실행 중"
"sync_server_tap_to_start","ko","탭하여 시작"
"sync_server_settings","ko","서버 설정"
"sync_port","ko","포트"
"sync_require_pin","ko","PIN 요구"
"sync_require_pin_subtitle","ko","비밀번호로 전송 보호"
"sync_pin_code","ko","PIN 코드"
"sync_active_downloads","ko","활성 다운로드"
"sync_active_downloads_count","ko","%d개 다운로드 중"
"sync_no_active_downloads","ko","활성 다운로드 없음"
"sync_server_url","ko","서버 URL"
"sync_active_transfer","ko","활성 전송"
"sync_active_transfers_count","ko","활성 전송 (%d)"
"sync_add_files_to_share","ko","공유할 파일 추가"
"sync_shared_files_count","ko","공유된 파일 (%1$d)"
"sync_empty_state_message","ko","파일 공유를 시작하려면 서버를 켜세요"
"sync_delete_cd","ko","삭제"
"sync_percentage","ko","%1$d%%"
"sync_transfer_progress","ko","%1$s / %2$s"
"sync_toast_added_skipped","ko","%1$d개의 파일을 추가하고, 지원되지 않는 %2$d개의 파일을 건너뛰었습니다"
"sync_toast_added","ko","동기화 폴더에 %1$d개의 파일을 추가했습니다"
"sync_toast_unsupported","ko","지원되는 패키지 파일이 선택되지 않았습니다 (apk, apk+, apks, xapk, apkm, zip)"
"sync_toast_failed","ko","파일 복사 실패"
"file_size_gb","ko","%1$.1f GB"
"file_size_mb","ko","%1$.1f MB"
"file_size_kb","ko","%1$.0f KB"
"file_size_b","ko","%1$d B"
"setting_retry_root","ko","루트 프로브 재시도"
"setting_section_interface","ko","인터페이스"
"setting_section_security","ko","보안"
"setting_lock_install_title","ko","설치 잠금"
